ticker,ticker_type,ticker_adm
ABCP11,Tijolo: Shoppings,Rio Bravo Investimentos
AFHI11,Papel: CRIs,BTG Pactual
AIEC11,Tijolo: Escritórios,MAF DTVM
ALMI11,Tijolo: Escritórios,BTG Pactual
ALZR11,Tijolo: Híbrido,BTG Pactual
ANCR11B,Tijolo: Shoppings,Genial Investimentos Corretora de Valores
APTO11,Híbrido (Tijolo/Papel),BRL Trust DTVM
ARCT11,Tijolo: Galpões,BTG Pactual
ARRI11,Papel: CRIs,Oliveira Trust
ATSA11,Tijolo: Shoppings,Hedge Investments DTVM LTDA
BARI11,Papel: CRIs,Oliveira Trust
BBFI11B,Tijolo: Escritórios,BTG Pactual
BBFO11,Papel: Fundo de Fundos,BB Gestão de Recursos
BBGO11,FIAGRO,BB Gestão de Recursos
BBIM11,Papel: CRIs,BB Gestão de Recursos
BBPO11,Tijolo: Bancário,Votorantim Asset Management
BBRC11,Tijolo: Bancário,Votorantim Asset Management
BCFF11,Papel: Fundo de Fundos,BTG Pactual
BCIA11,Papel: Fundo de Fundos,Banco Bradesco
BCRI11,Papel: CRIs,BRL Trust DTVM
BICE11,Papel: CRIs,BRL Trust DTVM
BICR11,Papel: CRIs,Inter DTVM
BIME11,Indefinido,BRL Trust DTVM
BLCA11,Tijolo: Escritórios,BTG Pactual
BLMC11,Papel: CRIs,BTG Pactual
BLMG11,Tijolo: Galpões,Vórtx DTVM LTDA
BLMR11,Papel: Fundo de Fundos,BRL Trust DTVM
BLUR11,Papel: CRIs,Banco Daycoval S.A.
BMII11,Tijolo: Escritórios,Rio Bravo Investimentos
BMLC11,Tijolo: Escritórios,BTG Pactual
BNFS11,Tijolo: Bancário,Oliveira Trust
BPFF11,Papel: Fundo de Fundos,Genial Investimentos Corretora de Valores
BPML11,Tijolo: Shoppings,BTG Pactual
BRCO11,Tijolo: Galpões,Oliveira Trust
BRCR11,Tijolo: Escritórios,BTG Pactual
BREV11,Tijolo: Escritórios,BR-CAPITAL
BRIM11,Tijolo: Desenvolvimento,BRL Trust DTVM
BRIP11,Tijolo: Desenvolvimento,BRL Trust DTVM
BTAL11,Tijolo: Outros,BTG Pactual
BTCR11,Papel: CRIs,BTG Pactual
BTLG11,Tijolo: Galpões,BTG Pactual
BTRA11,Indefinido,BTG Pactual
BTSG11,Tijolo: Desenvolvimento,Inter DTVM
BTWR11,Tijolo: Escritórios,BRL Trust DTVM
BVAR11,Tijolo: Varejo,Rio Bravo Investimentos
CACR11,Papel: CRIs,CM Capital Markets
CARE11,Tijolo: Outros,Planner Trustee DTVM LTDA
CBOP11,Tijolo: Escritórios,Credit Suisse Hedging-Griffo
CCRF11,Papel: CRIs,BTG Pactual
CEOC11,Tijolo: Escritórios,BTG Pactual
CNES11,Tijolo: Escritórios,BTG Pactual
CPFF11,Papel: Fundo de Fundos,BTG Pactual
CPTS11,Papel: CRIs,BTG Pactual
CRFF11,Papel: Fundo de Fundos,Caixa Econômica Federal
CTXT11,Tijolo: Outros,Rio Bravo Investimentos
CVBI11,Papel: CRIs,BRL Trust DTVM
CXAG11,Tijolo: Bancário,Oliveira Trust
